precinct;gender;nationality;category;num
2;Женский;Поляки;Грамотные;58
2;Женский;Туркмены;Грамотные;0
2;Женский;Киргизы;Грамотные;0
2;Женский;Калмыки;Грамотные;0
2;Женский;Мордвины;Грамотные;0
2;Женский;Финны;Грамотные;4
2;Женский;Греки;Грамотные;1
2;Женский;Шведы;Грамотные;2
2;Женский;Грузины;Грамотные;0
2;Женский;Белоруссы;Грамотные;1
2;Женский;Французы;Грамотные;4
2;Женский;Словаки;Грамотные;4
2;Женский;Латыши;Грамотные;0
2;Женский;Англичане;Грамотные;0
2;Женский;Чуваши;Грамотные;0
2;Женский;Зыряне;Грамотные;0
2;Женский;Литвины;Грамотные;0
2;Женский;Хивинцы;Грамотные;0
1;Женский;Русские;Грамотные;977
1;Женский;Татары;Грамотные;5
1;Женский;Армяне;Грамотные;28
1;Женский;Евреи;Грамотные;20
1;Женский;Немцы;Грамотные;34
1;Женский;Персы;Грамотные;0
1;Женский;Поляки;Грамотные;10
1;Женский;Туркмены;Грамотные;0
1;Женский;Киргизы;Грамотные;0
1;Женский;Калмыки;Грамотные;0
1;Женский;Мордвины;Грамотные;0
1;Женский;Финны;Грамотные;1
1;Женский;Греки;Грамотные;0
1;Женский;Шведы;Грамотные;3
1;Женский;Грузины;Грамотные;0
1;Женский;Белоруссы;Грамотные;0
1;Женский;Французы;Грамотные;0
1;Женский;Словаки;Грамотные;0
1;Женский;Латыши;Грамотные;0
1;Женский;Англичане;Грамотные;1
1;Женский;Чуваши;Грамотные;0
1;Женский;Зыряне;Грамотные;0
1;Женский;Литвины;Грамотные;0
1;Женский;Хивинцы;Грамотные;0
6;Женский;Русские;Грамотные;1466
6;Женский;Татары;Грамотные;116
6;Женский;Армяне;Грамотные;9
6;Женский;Евреи;Грамотные;7
6;Женский;Немцы;Грамотные;36
6;Женский;Персы;Грамотные;0
6;Женский;Поляки;Грамотные;13
6;Женский;Туркмены;Грамотные;0
6;Женский;Киргизы;Грамотные;1
6;Женский;Калмыки;Грамотные;0
6;Женский;Мордвины;Грамотные;0
